player_id,player_name,inningsPitched,strikeOuts,baseOnBalls,era,whip
671096,Andrew Abbott,6.0,4,1,0.0,1.33
641302,Tyler Alexander,1.0,0,0,0.0,0.0
681982,Grant Anderson,1.0,1,0,0.0,0.0
676879,Aaron Ashby,1.0,2,0,0.0,0.0
668933,Graham Ashcraft,0.2,1,1,0.0,1.5
691945,Carter Baumler,1.0,1,1,0.0,2.0
656222,Jalen Beeks,1.1,2,0,0.0,0.75
690925,Clayton Beeter,1.0,1,2,0.0,2.0
656234,Jake Bird,0.2,1,0,0.0,0.0
680742,Jonathan Bowlan,1.0,0,0,0.0,1.0
641401,Connor Brogdon,1.0,1,0,0.0,1.0
686613,Hunter Brown,4.2,9,4,0.0,1.71
664141,JT Brubaker,2.0,2,1,0.0,1.0
656271,Brock Burke,0.1,0,0,0.0,3.0
547973,Aroldis Chapman,1.0,0,0,0.0,0.0
676979,Garrett Crochet,6.0,8,2,0.0,0.83
666808,Camilo Doval,1.0,0,0,0.0,0.0
661395,Jhoan Duran,0.2,1,0,0.0,1.5
678606,Jose A. Ferrer,0.2,0,0,0.0,3.0
608331,Max Fried,6.1,4,1,0.0,0.47
672782,Yoendrys Gómez,2.0,1,1,0.0,1.5
669084,DL Hall,1.0,3,2,0.0,3.0
687396,Brent Headrick,1.0,1,1,0.0,2.0
664854,Ryan Helsley,1.0,3,0,0.0,1.0
694851,Andrew Hoffmann,1.2,0,2,0.0,1.8
663947,Tyler Holton,0.2,0,1,0.0,1.5
668873,Caleb Kilian,1.0,1,0,0.0,0.0
694361,Will Klein,1.0,1,0,0.0,0.0
673929,Jordan Leasure,1.0,0,0,0.0,0.0
668984,Casey Legumina,1.0,2,1,0.0,2.0
571948,Hoby Milner,1.0,0,0,0.0,1.0
594580,Sam Moll,1.0,1,0,0.0,0.0
688158,David Morgan,1.0,1,1,0.0,2.0
666661,Juan Morillo,1.0,1,1,0.0,2.0
676617,Riley O'Brien,1.1,2,0,0.0,0.75
593974,Wandy Peralta,1.0,0,0,0.0,1.0
519141,Drew Pomeranz,1.0,0,0,0.0,0.0
647315,Zach Pop,1.0,0,1,0.0,1.0
676571,PJ Poulin,1.0,0,1,0.0,2.0
672335,Cionel Pérez,1.0,2,0,0.0,0.0
670990,Yohan Ramírez,2.1,3,1,0.0,0.86
699134,Bradgley Rodriguez,2.0,3,0,0.0,0.0
573124,Taylor Rogers,1.0,1,0,0.0,1.0
669432,Trevor Rogers,7.0,5,4,0.0,1.0
605447,Jordan Romano,1.0,1,1,0.0,1.0
668941,JoJo Romero,0.2,0,0,0.0,3.0
657746,Joe Ryan,5.1,7,2,0.0,0.56
681870,Erik Sabrowski,1.1,3,0,0.0,0.0
642701,Dennis Santana,1.0,1,1,0.0,1.0
656945,Tanner Scott,1.0,0,0,0.0,0.0
681217,Chase Silseth,0.1,0,0,0.0,0.0
669373,Tarik Skubal,6.0,6,0,0.0,0.5
686580,Justin Slaten,1.0,2,1,0.0,1.0
671922,Cade Smith,1.0,1,0,0.0,0.0
667755,José Soriano,6.0,7,4,0.0,1.0
642397,Gregory Soto,1.0,2,0,0.0,0.0
592773,Ryne Stanek,1.0,1,3,0.0,3.0
650911,Cristopher Sánchez,6.0,10,0,0.0,0.5
657044,Ryan Thompson,1.0,1,0,0.0,0.0
595014,Blake Treinen,1.0,1,0,0.0,1.0
700712,Walbert Urena,0.2,1,1,0.0,3.0
676684,Will Vest,1.0,1,0,0.0,0.0
657097,Jacob Webb,1.0,2,0,0.0,1.0
676477,Garrett Whitlock,1.0,2,0,0.0,1.0
676775,Keaton Winn,1.0,2,1,0.0,1.0
669461,Matthew Liberatore,5.0,2,2,1.8,1.8
694819,Jacob Misiorowski,5.0,11,3,1.8,1.0
656876,Drew Rasmussen,5.0,2,0,1.8,0.8
668964,Tobias Myers,3.0,1,0,3.0,0.33
808967,Yoshinobu Yamamoto,6.0,6,0,3.0,0.83
805123,AJ Blubaugh,2.1,3,0,3.86,0.86
695418,Brad Lord,2.1,1,0,3.86,1.71
676917,Cade Cavalli,3.2,5,3,4.91,1.64
669302,Logan Gilbert,5.1,7,0,5.06,0.94
676440,Tanner Bibee,5.0,7,2,5.4,1.2
676962,Ben Brown,3.1,3,1,5.4,1.2
623454,Drew Anderson,1.1,0,2,6.75,3.0
642547,Freddy Peralta,5.0,7,0,7.2,1.2
656794,Sean Newcomb,2.1,1,1,7.71,1.71
681867,Cooper Criswell,1.0,1,1,9.0,2.0
668678,Zac Gallen,4.0,2,2,9.0,1.75
687911,Bryan King,1.0,1,0,9.0,2.0
676760,Ron Marinaccio,2.0,2,0,9.0,1.5
685005,Christian Roa,1.0,1,2,9.0,3.0
623437,Justin Topa,1.0,0,0,9.0,2.0
669330,Tyler Wells,1.0,1,0,9.0,1.0
663765,Jake Woodford,1.0,3,0,9.0,1.0
543135,Nathan Eovaldi,4.2,7,0,9.64,1.71
657277,Logan Webb,5.0,7,1,10.8,2.0
542888,Shawn Armstrong,0.2,2,0,13.5,1.5
681892,Kody Funderburk,0.2,0,1,13.5,3.0
643377,Griffin Jax,0.2,0,0,13.5,1.5
682254,Mason Montgomery,1.1,2,3,13.5,3.0
571510,Matthew Boyd,3.2,7,1,14.73,1.91
681343,Shane Smith,1.2,2,2,16.2,3.0
472610,Luis García,1.0,2,0,18.0,3.0
656457,Tyler Gilbert,1.0,0,1,18.0,3.0
664875,Justin Lawrence,1.0,0,0,18.0,2.0
601713,Nick Pivetta,3.0,4,3,18.0,3.33
642100,Gabe Speier,1.0,1,0,18.0,3.0
699151,Jedixson Paez,1.1,0,2,20.25,3.0
572955,Pierce Johnson,0.1,0,0,27.0,6.0
676755,Isaac Mattson,0.2,1,2,27.0,7.5
683175,Connor Phillips,0.2,1,1,27.0,4.5
688297,Chris Roycroft,0.1,0,0,27.0,9.0
663855,Jordan Hicks,0.2,0,4,40.5,9.0
677865,Justin Bruihl,0.1,0,1,54.0,6.0
664076,Garrett Cleavinger,0.1,0,0,54.0,6.0
694973,Paul Skenes,0.2,1,2,67.5,9.0
679775,Kyle Backhus,0.1,0,0,81.0,9.0
694335,Matt Svanson,0.1,0,0,81.0,9.0
664199,Taylor Clarke,0.1,0,0,108.0,9.0
693855,Ian Seymour,0.0,0,0,,
